check (source file),event,date_first_detected,time_first_detected,temperature_celsuis,camera_model,location,treatment,site,site_type,wing1ID,wing1_detected,centreID,centre_detected,wing2ID,wing2_detected,walked_in_front_of_felixer?,walkpast,avoided,catID,comments,2_or_more_cameras,ID_dataset,date_site_set,time_in,times_caught_to_date,sex,days_since_site_set,days_cat_in,days_cat_exposed,direction,behavior,weight_g,age,captured_no,date_last_capture,days_since_last_capture
first camera check 1.7 - 5.7,1,27/05/2021,21:29:03,2,reconyx,dingo,collared,CR01,crate,SR1,1,SR2,0,SR3,0,F,0,1,,,no,drop,27/05/2021,16/04/2021,1,M,0,41,0,east,"Rudy investigates SR1, continues down track, then appears to duck off at crate and edge around backside. Photos taken by SR2 but shows avoidance I think",3350,adult,1,16/04/2021,41
first camera check 1.7 - 5.7,2,27/05/2021,23:32:52,5,reconyx,dingo,collared,F3,felixer,SR13,1,SR14,1,SR15,0,F,0,1,bruce,"still has silicon tubing collar, changed 28/5",yes,catID,27/05/2021,9/05/2021,1,M,0,18,0,south,"walks past SR13, stops at SR14 looks at felixer up and down, then backs away. 10 mins later walks up and over dune (potentially - cant tell if same cat)",4200,adult,1,9/05/2021,18
first camera check 1.7 - 5.7,3,28/05/2021,18:56:39,10,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,0,SR6,1,F,0,1,,,no,drop,27/05/2021,12/05/2021,1,M,1,16,1,west,"walks past SR6, turns to look back then keeps walking",3400,adult,1,12/05/2021,16
first camera check 1.7 - 5.7,4,28/05/2021,4:59:09,3,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,0,SR9,1,F,0,1,,,no,drop,27/05/2021,16/04/2021,1,M,1,42,1,east,flash of bum on SR9,3350,adult,1,16/04/2021,42
first camera check 1.7 - 5.7,5,28/05/2021,17:50:23,13,reconyx,dingo,collared,F2,felixer,SR7,1,SR8,1,SR9,1,T,1,0,rudy,,yes,catID,27/05/2021,16/04/2021,1,M,1,42,1,west,"pauses and looks at felixer, walks on, investigates SR7",3350,adult,1,16/04/2021,42
first camera check 1.7 - 5.7,6,28/05/2021,23:57:19,9,reconyx,dingo,collared,F2,felixer,SR7,1,SR8,0,SR9,0,T,1,0,,,no,drop,27/05/2021,12/05/2021,2,M,1,16,1,west,"comes in from east, stops and stares at SR7 for a while then turns and heads west",3400,adult,1,12/05/2021,16
first camera check 1.7 - 5.7,7,28/05/2021,0:17:30,8,reconyx,dingo,collared,F3,felixer,SR13,0,SR14,1,SR15,1,T,1,0,bruce,"only good back leg, small collar so likely bruce. Also less than an hour ago passed F3",yes,catID,27/05/2021,9/05/2021,1,M,1,19,1,south,"tail seen walking past felixer, then sr15",4200,adult,1,9/05/2021,19
first camera check 1.7 - 5.7,8,29/05/2021,18:46:42,10,reconyx,dingo,collared,CR04,crate,HM4,0,HM5,0,HM6,1,F,0,1,,,no,drop,29/05/2021,6/05/2021,1,M,0,23,0,east,"walks up to and investigates HM6, but then turns and heads west.",3200,adult,1,6/05/2021,23
first camera check 1.7 - 5.7,9,29/05/2021,19:36:43,9,reconyx,dingo,collared,CR04,crate,HM4,1,HM5,0,HM6,0,F,0,1,,,no,drop,29/05/2021,12/05/2021,1,M,0,17,0,west,"walks past HM4, but then turns around and comes back a few minutes later. Stops looks at camera then walks SE",3400,adult,1,12/05/2021,17
first camera check 1.7 - 5.7,10,30/05/2021,21:45:53,9,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,0,SR12,1,F,0,1,,,no,drop,29/05/2021,12/05/2021,1,M,1,18,1,west,"walks past SR12 west, then 10 minutes later walks east further south off track",3400,adult,1,12/05/2021,18
