d,nd,treatment,before_after,site,det.rate
3,66,F,B,1,0.045454545
0,95,F,A,1,0
12,58,F,B,2,0.206896552
0,94,F,A,2,0
3,66,F,B,3,0.045454545
0,95,F,A,3,0
0,69,C,B,4,0
1,94,C,A,4,0.010638298
3,67,F,B,5,0.044776119
0,94,F,A,5,0
1,68,C,B,6,0.014705882
0,95,C,A,6,0
2,67,C,B,7,0.029850746
0,95,C,A,7,0
1,68,C,B,8,0.014705882
0,95,C,A,8,0
6,63,C,B,9,0.095238095
3,92,C,A,9,0.032608696
2,67,C,B,10,0.029850746
2,93,C,A,10,0.021505376
0,69,C,B,11,0
0,95,C,A,11,0
0,69,C,B,12,0
0,95,C,A,12,0
0,69,C,B,13,0
0,95,C,A,13,0
0,69,C,B,14,0
0,95,C,A,14,0
0,69,C,B,15,0
0,95,C,A,15,0
